"file","OM","Ftrgt","Btrigger","HCR","TACconstr","BB","catch_long","catch_short","catch_medium","risk1_full","risk1_long","risk1_short","risk1_medium","risk3_long","risk3_short","risk3_medium","iav_long","iav_short","iav_medium","catch_median_long","catch_median_short","catch_median_medium","conv_failed","F_maxed","ssb_median_long","ssb_median_short","ssb_median_medium","F_median_long","F_median_medium","F_median_short","Blim","recovery_time","recovery_proportion"
"OM1_HCR-C_Ftrgt-0.16_Btrigger-240000_TACconstr-TRUE_BB-TRUE.rds",1,0.16,240000,"C",TRUE,TRUE,24623.01764,16811.9575,21509.4735,0.0577,0.0406,0.0784,0.0712,0.051,0.099,0.09,0.36156445,0.348538973,0.410409484,22992.6,16535.5,19698.35,0,0,199403.6021,169929.7279,190100.6516,0.128071806,0.114770153,0.101235273,119970,1,0.971
"OM1_HCR-C_Ftrgt-0.16_Btrigger-250000_TACconstr-FALSE_BB-FALSE.rds",1,0.16,250000,"C",FALSE,FALSE,24098.3305,15932.224,21734.139,0.0552,0.0376,0.077,0.0686,0.05,0.093,0.085,0.15970752578428,0.240894115153527,0.227003659296786,22563.5,15898,20150.5,0,0,201137.747553388,170505.761243843,191911.636159809,0.125401761101968,0.117324503173283,0.0958159713061663,119970,1,0.973
"OM1_HCR-C_Ftrgt-0.16_Btrigger-250000_TACconstr-TRUE_BB-TRUE.rds",1,0.16,250000,"C",TRUE,TRUE,24253.15091,16341.40828,21149.36272,0.0557,0.0386,0.0766,0.069,0.05,0.095,0.087,0.360583596,0.340811699,0.411036305,22397.9,16059,19215,0,0,200615.3847,170427.9967,191172.5831,0.124518519,0.11128221,0.097572148,119970,1,0.973
"OM1_HCR-C_Ftrgt-0.16_Btrigger-2e+05_TACconstr-TRUE_BB-TRUE.rds",1,0.16,2e+05,"C",TRUE,TRUE,25922.72709,19085.39728,22771.29478,0.06995,0.0506,0.092,0.0866,0.06,0.119,0.106,0.362961235,0.321607955,0.403945731,24888.8,19194.15,22053,0,0,194714.8231,167182.2585,185708.4958,0.141225086,0.128913475,0.120071474,119970,1,0.965
"OM1_HCR-C_Ftrgt-0.172_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",1,0.172,190000,"C",FALSE,FALSE,27121.4927,20409.2,24756.31881,0.0794,0.0577,0.105,0.0972,0.069,0.133,0.113,0.131174728,0.150701935,0.200207711,27779.5,21453,24992,0,0,191302.1618,165019.9151,182360.7381,0.15772485,0.149492474,0.133504553,119970,1,0.961
"OM1_HCR-C_Ftrgt-0.172_Btrigger-220000_TACconstr-FALSE_BB-FALSE.rds",1,0.172,220000,"C",FALSE,FALSE,26233.7167,18510.6034,23871.3626,0.06775,0.0486,0.0908,0.083,0.059,0.113,0.1,0.150670997082572,0.237715245695086,0.218665030244627,25423.5,19009,22784,0,0,194878.593856541,167649.845973986,185884.135301746,0.145926973853121,0.137014871318874,0.116028439389757,119970,1,0.967
"OM1_HCR-C_Ftrgt-0.172_Btrigger-230000_TACconstr-TRUE_BB-TRUE.rds",1,0.172,230000,"C",TRUE,TRUE,26045.0187,18371.30828,22875.5779898106,0.0657,0.0468,0.0874,0.0818,0.058,0.111,0.1,0.360914480351192,0.315230528558966,0.412558582533718,24491.85,18200.05,20996.75,0,0,195372.223620407,168310.548474135,186755.75327015,0.139735420952246,0.125717722464435,0.112789063607282,119970,1,0.968
"OM1_HCR-C_Ftrgt-0.17_Btrigger-250000_TACconstr-FALSE_BB-FALSE.rds",1,0.17,250000,"C",FALSE,FALSE,24968.3743,16722.3322,22588.4526,0.0592,0.0413,0.0816,0.0726,0.053,0.097,0.089,0.161888113449046,0.24093725484124,0.229438783411745,23324.5,16812.5,20897,0,0,198860.191170431,169591.670786727,189880.863345224,0.131667070788376,0.123328188046614,0.101491250344384,119970,1,0.971
"OM1_HCR-C_Ftrgt-0.17_Btrigger-250000_TACconstr-TRUE_BB-TRUE.rds",1,0.17,250000,"C",TRUE,TRUE,25125.48939,17129.72552,21978.11824,0.05945,0.0421,0.0802,0.0734,0.055,0.102,0.094,0.360171135,0.34424771,0.412169299,23131.2,16830.85,19843.1,0,0,198342.0663,169655.7831,189287.3988,0.130998039,0.117138209,0.103176257,119970,1,0.971
"OM1_HCR-C_Ftrgt-0.17_Btrigger-260000_TACconstr-FALSE_BB-FALSE.rds",1,0.17,260000,"C",FALSE,FALSE,24583.6057,16238.844,22197.3386,0.0564,0.0388,0.0782,0.0698,0.051,0.094,0.086,0.165570735906811,0.242693501186984,0.231756294125983,22768,16219,20404,0,0,199987.716258847,170225.968550616,191144.322474353,0.127416927174402,0.119492946169473,0.0977848593470306,119970,1,0.973
