"","Var1","Freq"
"1","Min.",0.191285592361898
"2","1st Qu.",0.812192309513337
"3","Median",1.01961334355805
"4","Mean",1.05340499104618
"5","3rd Qu.",1.25789025732408
"6","Max.",3.62195542456425
